# f[Hz],amplitude[V],phase[degrees]
1.000000000000000000e+07,6.322733108594812412e-01,8.097183325920094266e-01
1.500000000000000000e+07,6.328246130734811459e-01,4.811223848687055105e-01
2.000000000000000000e+07,6.312254328637710854e-01,2.281211674769748621e-01
2.500000000000000000e+07,6.288658756183667098e-01,6.393544384112326284e-02
3.000000000000000000e+07,6.262284173986537583e-01,-1.069173651123886959e-01
3.500000000000000000e+07,6.237243224196130642e-01,-3.165634604368909866e-01
4.000000000000000000e+07,6.207972112326506364e-01,-3.979406742713533784e-01
4.500000000000000000e+07,6.174166210724558734e-01,-3.170021289953159904e-01
5.000000000000000000e+07,6.133547247097933530e-01,3.113082657111405638e-01
5.500000000000000000e+07,6.091561327195755826e-01,-2.861238021057215253e-01
6.000000000000000000e+07,6.046988330055581562e-01,-5.153982825531795431e-01
6.500000000000000000e+07,6.002591001133523729e-01,-7.294365223677874432e-01
7.000000000000000000e+07,5.958787238222466032e-01,5.507456092310136775e-02
7.500000000000000000e+07,5.911804853585789221e-01,-3.256782662937758310e-01
8.000000000000000000e+07,5.861262105321900506e-01,-2.666785870635315359e-01
8.500000000000000000e+07,5.807395585974319818e-01,-8.976393153149351267e-01
9.000000000000000000e+07,5.747485163698832222e-01,-4.871204184067174925e-01
9.500000000000000000e+07,5.686724591982070809e-01,2.576833086901191283e-01
1.000000000000000000e+08,5.629783456276895581e-01,-8.243175388070276277e-01
1.050000000000000000e+08,5.573267527604430782e-01,1.377553881690561921e-01
1.100000000000000000e+08,5.524171907323871533e-01,9.951984974864174216e-01
1.150000000000000000e+08,5.471373187969240659e-01,6.347445950565168138e-01
1.200000000000000000e+08,5.420865876469580513e-01,1.420798890242064516e+00
1.250000000000000000e+08,5.364866715228819860e-01,8.868159584033386000e-01
1.300000000000000000e+08,5.301432955357995302e-01,1.368650773865017989e+00
1.350000000000000000e+08,5.238209338013773975e-01,8.256699821814967866e-01
1.400000000000000000e+08,5.176804008833783000e-01,1.050670592752544596e+00
1.450000000000000000e+08,5.117601432678983153e-01,2.049657167003723135e+00
1.500000000000000000e+08,5.065698778020620852e-01,4.009670942272011374e+00
1.550000000000000000e+08,5.019388176443988492e-01,2.500994180744221751e+00
1.600000000000000000e+08,4.973065154985568670e-01,2.577668162059600476e+00
1.650000000000000000e+08,4.924216120620539261e-01,2.417640379832384667e+00
1.700000000000000000e+08,4.874101655898304131e-01,4.026008204645604494e+00
1.750000000000000000e+08,4.824705743267689861e-01,2.745786757400322742e+00
1.800000000000000000e+08,4.775747977707627268e-01,3.435480727425582081e+00
1.850000000000000000e+08,4.733258106694183676e-01,4.088416732789907471e+00
1.900000000000000000e+08,4.689565767294172627e-01,4.000295738422372516e+00
1.950000000000000000e+08,4.653708590676554624e-01,3.700140920416725265e+00
2.000000000000000000e+08,4.615533567167035556e-01,-1.133487674028963443e+00
2.050000000000000000e+08,4.567182658474875367e-01,3.924091847225975371e+00
2.100000000000000000e+08,4.513144347123605460e-01,5.221920299984555314e+00
2.150000000000000000e+08,4.463571619995626572e-01,5.256613939131320024e+00
2.200000000000000000e+08,4.408924474482781020e-01,4.900879282702232054e+00
2.250000000000000000e+08,4.352064774876593378e-01,5.292580358338224045e+00
2.300000000000000000e+08,4.296753839139605402e-01,4.116947510613911732e+00
2.350000000000000000e+08,4.240448526044212074e-01,5.571485318318055491e+00
2.400000000000000000e+08,4.180273718123566074e-01,5.133171311256043978e+00
2.450000000000000000e+08,4.114092131963030252e-01,7.514514913823113318e+00
2.500000000000000000e+08,4.041444989560376566e-01,5.797716127517686502e+00
2.550000000000000000e+08,3.956784302598556624e-01,7.731605660950899406e+00
2.600000000000000000e+08,3.879106384235097016e-01,6.704487033412936725e+00
2.650000000000000000e+08,3.794743488113458962e-01,7.197051105415210870e+00
2.700000000000000000e+08,3.715720289790729880e-01,7.061294785273179997e+00
2.750000000000000000e+08,3.636437941360991521e-01,9.048418675338940176e+00
2.800000000000000000e+08,3.565465525874026986e-01,8.682455786892944616e+00
2.850000000000000000e+08,3.486233842630441226e-01,9.579922066489620747e+00
2.900000000000000000e+08,3.410357024036278495e-01,9.676152419396830240e+00
2.950000000000000000e+08,3.329360797410733652e-01,9.390639401683083420e+00
3.000000000000000000e+08,3.252495677907601412e-01,7.576316550873306355e+00
3.050000000000000000e+08,3.172797687327165717e-01,1.009691760188159471e+01
3.100000000000000000e+08,3.104852450447800338e-01,1.208705227855895714e+01
3.150000000000000000e+08,3.024409235565693188e-01,1.280537306373592443e+01
3.200000000000000000e+08,2.960773910164175571e-01,1.307402897578154999e+01
3.250000000000000000e+08,2.887793797041369181e-01,1.483159016124971608e+01
3.300000000000000000e+08,2.812670589654305831e-01,1.440296723070365026e+01
3.350000000000000000e+08,2.728741837530578307e-01,1.621520439339132480e+01
3.400000000000000000e+08,2.636687019755830641e-01,1.579906973894722455e+01
3.450000000000000000e+08,2.551607652290652783e-01,1.683852129390067986e+01
3.500000000000000000e+08,2.456496831880646547e-01,2.087722317355760993e+01
3.550000000000000000e+08,2.361905243381017261e-01,2.003365027847725344e+01
3.600000000000000000e+08,2.265295407318315968e-01,2.043926262813748451e+01
